,CountyName,RecType,"Region-2
County-3
District-4",Type,School,FacilityName,Administrator,Address,City,Zip,Telephone,GradeServed,StRep,StSen,FedCong,Cat,NCES ID
0,,,,,,,,,,,,,,,,,
1,Adams,Dist,010010010,26.0,0000,Payson CUSD 1,Mrs. Donna Veile,404 W State St # 1,Payson,62360 1041,217656-3323,P-12,94.0,47.0,18.0,2.0,1730990
2,Adams,Sch,010010010,26.0,0001,Seymour High School,Mrs. Dawn VanCamp,420 W Brainard St,Payson,62360 1033,217656-3355,7-12,94.0,47.0,18.0,4.0,173099003226
3,Adams,Sch,010010010,26.0,2002,Seymour Elementary School,Mr. Ted Trueblood,404 W State St,Payson,62360 1041,217656-3323,P-6,94.0,47.0,18.0,4.0,173099003225
4,Adams,Dist,010010020,26.0,0000,Liberty CUSD 2,Mrs. Kelle Bunch,505 N Park St,Liberty,62347 1107,217645-3433,P-12,94.0,47.0,18.0,2.0,1722770
5,Adams,Sch,010010020,26.0,0001,Liberty High School,Mr. Justin Edgar,505 N Park St,Liberty,62347 1107,217645-3433,7-12,94.0,47.0,18.0,4.0,172277002524
6,Adams,Sch,010010020,26.0,2002,Liberty Elementary School,Mrs. Jody Obert,505 N Park St,Liberty,62347 1107,217645-3481,P-6,94.0,47.0,18.0,4.0,172277002523
7,Adams,Dist,010010030,26.0,0000,Central CUSD 3,Mr. Martin Cook,2110 Highway 94 N,Camp Point,62320 2516,217593-7116,P-12,94.0,47.0,18.0,2.0,1708220
8,Adams,Sch,010010030,26.0,0001,Central High School,Mr. Jeffrey Waggener,2110 Highway 94 N,Camp Point,62320 2516,217593-7731,9-12,94.0,47.0,18.0,4.0,170822000431
9,Adams,Sch,010010030,26.0,1001,Central Junior High School,Erica Smith,2110 Highway 94 N,Camp Point,62320 2516,217593-7741,5-8,94.0,47.0,18.0,4.0,170822005402
10,Adams,Sch,010010030,26.0,2003,Central Elementary Grade School,Eric Stotts,PO Box 379,Camp Point,62320 0379,217593-7795,P-2,94.0,47.0,18.0,4.0,170822000430
11,Adams,Sch,010010030,26.0,2008,Central 3-4 Middle School,Mrs. Lorie Obert,PO Box 219,Golden,62339 0219,217696-4652,3-4,94.0,47.0,18.0,4.0,170822005403
12,Adams,Dist,010010040,26.0,0000,CUSD 4,Dr. Jane A Eichman,PO Box 200,Mendon,62351 0200,217936-2111,K-12,94.0,47.0,18.0,2.0,1725590
13,Adams,Sch,010010040,26.0,0001,Unity High School,William Dorethy,PO Box 200,Mendon,62351 0200,217936-2116,9-12,94.0,47.0,18.0,4.0,172559002771
14,Adams,Sch,010010040,26.0,2006,Unity Elementary School,Jerry Ellerman,136 W Washington St,Mendon,62351 1223,217936-2512,K-3,94.0,47.0,18.0,4.0,172559004734
15,Adams,Sch,010010040,26.0,2007,Unity Middle School,Seth Klusmeyer,PO Box 200,Mendon,62351 0200,217936-2727,4-8,94.0,47.0,18.0,4.0,
16,Adams,Dist,010011720,22.0,0000,Quincy SD 172,Mr. Roy Webb,1416 Maine St,Quincy,62301 4261,217223-8700,P-12,94.0,47.0,18.0,2.0,1733000
17,Adams,Sch,010011720,22.0,0003,Quincy Sr High School,Mrs. Danielle Edgar,3322 Maine St,Quincy,62301 4439,217224-3770,9-12,94.0,47.0,18.0,4.0,173300005053
18,Adams,Sch,010011720,22.0,1003,Quincy Jr High School,Mr. Dan Sparrow,100 S 14th St,Quincy,62301 4209,217222-3073,6-8,94.0,47.0,18.0,4.0,173300005054
19,Adams,Sch,010011720,22.0,2004,Adams Elementary School,Chrissy Cox,2001 Jefferson St,Quincy,62301 5654,217222-2530,K-3,94.0,47.0,18.0,4.0,173300005055
20,Adams,Sch,010011720,22.0,2006,Dewey Elementary School,Mr. Brad Funkenbush,2040 Cherry St,Quincy,62301 2210,217228-7117,K-3,94.0,47.0,18.0,4.0,173300005056
21,Adams,Sch,010011720,22.0,2007,Ellington Elementary School,Anne Cashman,3001 Lindell Ave,Quincy,62301 4524,217222-5697,K-3,94.0,47.0,18.0,4.0,173300005057
22,Adams,Sch,010011720,22.0,2008,Berrian School,Mrs. Crissy Cox,1327 S 8th St,Quincy,62301 7245,217228-7691,K-3,94.0,47.0,18.0,4.0,173300003330
23,Adams,Sch,010011720,22.0,2009,Madison School,Mr. James Sohn,2435 Maine St,Quincy,62301 4402,217223-6096,K-3,94.0,47.0,18.0,4.0,173300003359
24,Adams,Sch,010011720,22.0,2016,Monroe Elementary School,Mr. Brian Trowbridge,3211 Payson Rd,Quincy,62305 6441,217223-8871,K-3,94.0,47.0,18.0,4.0,173300005059
25,Adams,Sch,010011720,22.0,2017,Washington Elementary School,Sara Cramer,1400 N 8th St,Quincy,62301 1610,217222-4059,K-3,94.0,47.0,18.0,4.0,173300005060
26,Adams,Sch,010011720,22.0,2019,Baldwin Intermediate,Mr. Jason Fink,3000 Maine St,Quincy,62301 4417,217223-0003,4-5,94.0,47.0,18.0,4.0,173300005196
27,Adams,Sch,010011720,22.0,3004,Early Childhood,Julie Schuckman,401 S 8th St,Quincy,62301 4149,217228-7121,P,94.0,47.0,18.0,4.0,173300005520
28,Adams,Sch,010011720,22.0,3005,Adams Co Juvenile Detention Cntr,Mrs. Eryn Beswick,200 N 52nd St,Quincy,62305 9114,217223-8700,7-11,94.0,47.0,18.0,4.0,173300005082
29,Brown,Dist,010050010,26.0,0000,Brown County CUSD 1,Mrs. Vicki Phillips,503 NW Cross St,Mount Sterling,62353 1149,217773-7502,P-12,93.0,47.0,18.0,2.0,1727300
30,Brown,Sch,010050010,26.0,0001,Brown County High School,Mrs. Pollee Craven,500 E Main St,Mount Sterling,62353 1377,217773-7702,9-12,93.0,47.0,18.0,4.0,172730002893
31,Brown,Sch,010050010,26.0,1002,Brown County Middle School,Ms. Karen Jirjis,504 E Main St,Mt Sterling,62353 1377,217773-7500,5-8,93.0,47.0,18.0,4.0,172730005720
32,Brown,Sch,010050010,26.0,2002,Brown County Elementary School,Ms. Shelly Eager,501 NW Cross St,Mount Sterling,62353 1149,217773-7500,P-4,93.0,47.0,18.0,4.0,172730002894
33,Cass,Dist,010090150,26.0,0000,Beardstown CUSD 15,Mr. Ron Gilbert,500 E 15th St,Beardstown,62618 2052,217323-3099,P-12,93.0,47.0,18.0,2.0,1705310
34,Cass,Sch,010090150,26.0,0007,Beardstown Jr/Sr High School,Mr. Scott Riddle,500 E 15th St,Beardstown,62618 2052,217323-3665,5-12,93.0,47.0,18.0,4.0,170531000216
35,Cass,Sch,010090150,26.0,2003,Gard Elementary School,Mrs. Randi Cowell,400 E 15th St,Beardstown,62618 2054,217323-1364,K-4,93.0,47.0,18.0,4.0,170531000217
36,Cass,Sch,010090150,26.0,3002,Grand Ave Sch,Pam Desollar,1301 Grand Ave,Beardstown,62618 8092,217323-3585,P,93.0,47.0,18.0,4.0,170531000218
37,Cass,Dist,010090640,26.0,0000,Virginia CUSD 64,Mr. Brent ODaniell,651 S Morgan St,Virginia,62691 1547,217452-3085,P-12,93.0,47.0,18.0,2.0,1740410
38,Cass,Sch,010090640,26.0,0003,Virginia Jr/ Sr High School,Mr. Aaron Llewellyn,651 S Morgan St,Virginia,62691 1547,217452-3087,6-12,93.0,47.0,18.0,4.0,174041004070
39,Cass,Sch,010090640,26.0,2001,Virginia Elem School,Ms. Kara Bowman,651 S Morgan St,Virginia,62691 1547,217452-3363,P-5,93.0,47.0,18.0,4.0,174041004871
40,Cass,Dist,010092620,26.0,0000,A-C Central CUSD 262,Mr. Timothy Page,PO Box 260,Ashland,62612 0260,217476-8112,K-12,93.0,47.0,18.0,2.0,1700105
41,Cass,Sch,010092620,26.0,0002,A-C Central High School,Mr. Stephen Groll,PO Box 260,Ashland,62612 0260,217476-3312,9-12,93.0,47.0,18.0,4.0,170010505357
42,Cass,Sch,010092620,26.0,1002,A-C Central Middle School,Mr. Stephen Groll,PO Box 260,Ashland,62612 0260,217476-3312,5-8,93.0,47.0,18.0,4.0,170010500245
